1,General and overarching topics collections,,
2,History and biography,,
3,Mathematical logic and foundations,,
3.1.,,Software source code for problems pertaining to mathematical logic and foundations,
3.2.,,Computational methods for problems pertaining to mathematical logic and foundations,
3.3.,,Research data for problems pertaining to mathematical logic and foundations,
3.4.,,General logic,
3.4.1.,,,Probability and inductive logic
3.4.2.,,,Many-valued logic
3.4.3.,,,Fuzzy logic logic of vagueness
3.4.4.,,,Logic of natural languages
3.4.5.,,,Logic in computer science
3.5.,,Set theory,
3.5.1.,,,Partition relations
3.5.2.,,,Ordered sets and their cofinalities pcf theory
3.5.3.,,,Theory of fuzzy sets
3.5.4.,,,Applications of set theory
4,Combinatorics,,
4.1.,,Computational methods for problems pertaining to combinatorics,
4.2.,,Research data for problems pertaining to combinatorics,
4.3.,,Designs and configurations,
4.3.1.,,,Combinatorial aspects of matrices incidence Hadamard
4.3.2.,,,Combinatorial aspects of finite geometries 
4.3.3.,,,Combinatorial aspects of matroids and geometric lattices
4.3.4.,,,Combinatorial aspects of packing and covering
4.3.5.,,,Combinatorial aspects of tessellation and tiling problems
4.4.,,Graph theory,
4.4.1.,,,Trees
4.4.2.,,,Vertex degrees
4.4.3.,,,Graphical indices Wiener index Zagreb index Randic index
4.4.4.,,,Planar graphs geometric and topological aspects of graph theory
4.4.5.,,,Distance in graphs
4.4.6.,,,Coloring of graphs and hypergraphs
4.4.7.,,,Perfect graphs
4.4.8.,,,Directed graphs digraphs tournaments
4.4.9.,,,Flows in graphs
4.4.10.,,,Signed and weighted graphs
4.4.11.,,,Extremal problems in graph theory
4.4.12.,,,Paths and cycles
4.4.13.,,,Connectivity
4.4.14.,,,Density toughness
4.4.15.,,,Graphs and linear algebra matrices eigenvalues
4.4.16.,,,Graph designs and isomorphic decomposition
4.4.17.,,,Isomorphism problems in graph theory reconstruction conjecture and homomorphisms subgraph embedding
4.4.18.,,,Graph representations geometric and intersection representations
4.4.19.,,,Hypergraphs
4.4.20.,,,Vertex subsets with special properties dominating sets independent sets cliques
4.4.21.,,,Edge subsets with special properties factorization matching partitioning covering and packing
4.4.22.,,,Fractional graph theory fuzzy graph theory
4.4.23.,,,Structural characterization of families of graphs
4.4.24.,,,Graph operations line graphs products
4.4.25.,,,Graph labelling graceful graphs bandwidth
4.4.26.,,,Random graphs graph-theoretic aspects
4.4.27.,,,Random walks on graphs
4.4.28.,,,Small world graphs complex networks graph-theoretic aspects
4.4.29.,,,Graph algorithms graph-theoretic aspects
4.4.30.,,,Applications of graph theory
4.4.31.,,,Chemical graph theory
5,Order lattices ordered algebraic structures,,
5.1.,,Software source code for problems pertaining to ordered structures,
5.2.,,Computational methods for problems pertaining to ordered structures,
5.3.,,Research data for problems pertaining to ordered structures,
5.4.,,Ordered sets,
5.4.1.,,,Total orders
5.4.2.,,,Partial orders general
5.4.3.,,,Combinatorics of partially ordered sets
5.4.4.,,,Algebraic aspects of posets
5.4.5.,,,Semilattices
5.4.6.,,,Galois correspondences closure operators in relation to ordered sets
5.4.7.,,,Generalizations of ordered sets
5.5.,,Lattices,
5.5.1.,,,Representation theory of lattices
5.5.2.,,,Varieties of lattices
5.5.3.,,,Complete lattices completions
5.5.4.,,,Free lattices projective lattices word problems
5.5.5.,,,Generalizations of lattices
5.6.,,Modular lattices complemented lattices,
5.6.1.,,,Modular lattices Desarguesian lattices
5.6.2.,,,Semimodular lattices geometric lattices
5.7.,,Distributive lattices,
5.7.1.,,,Structure and representation theory of distributive lattices
5.7.2.,,,Complete distributivity
5.7.3.,,,Fuzzy lattices soft algebras and related topics
5.8.,,Boolean algebras Boolean rings,
5.8.1.,,,Boolean functions
6,General algebraic systems,,
7,Number theory,,
8,Field theory and polynomials,,
9,Commutative algebra,,
10,Algebraic geometry,,
11,Linear and multilinear algebra matrix theory,,
11.1.,,Software source code for problems pertaining to linear algebra,
11.2.,,Research data for problems pertaining to linear algebra,
11.3.,,Basic linear algebra,
11.3.1.,,,Vector spaces linear dependence rank lineability
11.3.2.,,,Linear transformations semilinear transformations
11.3.3.,,,Linear equations linear algebraic aspects
11.3.4.,,,Theory of matrix inversion and generalized inverses
11.3.5.,,,Applications of generalized inverses
11.3.6.,,,Conditioning of matrices
11.3.7.,,,Determinants permanents traces other special matrix functions
11.3.8.,,,Matrix exponential and similar functions of matrices
11.3.9.,,,Eigenvalues singular values and eigenvectors
11.3.10.,,,Diagonalization Jordan forms
11.3.11.,,,Canonical forms reductions classification
11.3.12.,,,Matrix pencils
11.3.13.,,,Factorization of matrices
11.3.14.,,,Matrix equations and identities
11.3.15.,,,Commutativity of matrices
11.3.16.,,,Inverse problems in linear algebra
11.3.17.,,,Algebraic systems of matrices
11.3.18.,,,Linear inequalities of matrices
11.3.19.,,,Inequalities involving eigenvalues and eigenvectors
11.3.20.,,,Miscellaneous inequalities involving matrices
11.3.21.,,,Norms of matrices numerical range applications of functional analysis to matrix theory
11.3.22.,,,Quadratic and bilinear forms inner products
11.3.23.,,,Multilinear algebra tensor calculus
11.3.24.,,,Vector and tensor algebra theory of invariants
11.3.25.,,,Exterior algebra Grassmann algebras
11.3.26.,,,Other algebras built from modules
11.3.27.,,,Max-plus and related algebras
11.3.28.,,,Matrix completion problems
11.3.29.,,,Linear preserver problems
11.4.,,Special matrices,
11.4.1.,,,Toeplitz Cauchy and related matrices
11.4.2.,,,Orthogonal matrices
11.4.3.,,,Fuzzy matrices
11.4.4.,,,Boolean and Hadamard matrices
11.4.5.,,,Sign pattern matrices
11.4.6.,,,Positive matrices and their generalizations cones of matrices
11.4.7.,,,Stochastic matrices
11.4.8.,,,Random matrices algebraic aspects
12,Associative rings and algebras,,
13,Nonassociative rings and algebras,,
14,Category theory homological algebra,,
15,K-theory,,
16,Group theory and generalizations,,
17,Topological groups Lie groups,,
18,Real functions,,
19,Measure and integration,,
20,Functions of a complex variable,,
21,Potential theory,,
22,Several complex variables and analytic spaces,,
23,Special functions,,
23.1.,,Hypergeometric functions,
23.1.1.,,,Classical hypergeometric functions
23.1.2.,,,Bessel and Airy functions cylinder functions
23.1.3.,,,Confluent hypergeometric functions Whittaker functions
23.1.4.,,,Generalized hypergeometric series
23.1.5.,,,Orthogonal polynomials and functions of hypergeometric type Jacobi Laguerre Hermite Askey scheme
23.1.6.,,,Other special orthogonal polynomials and functions
23.1.7.,,,Orthogonal polynomials and functions in several variables expressible in terms of special functions in one variable
23.1.8.,,,Orthogonal polynomials and functions associated with root systems
23.1.9.,,,Spherical harmonics
23.2.,,Basic hypergeometric functions,
23.2.1.,,,q-gamma functions q-beta functions and integrals
23.2.2.,,,Basic hypergeometric functions in one variable
23.2.3.,,,Basic orthogonal polynomials and functions Askey-Wilson polynomials
23.2.4.,,,Orthogonal polynomials and functions in several variables expressible in terms of basic hypergeometric functions in one variable
23.2.5.,,,Basic orthogonal polynomials and functions associated with root systems Macdonald polynomials
23.3.,,Other special functions,
23.3.1.,,,Elliptic functions and integrals
23.3.2.,,,Lame Mathieu and spheroidal wave functions
23.3.3.,,,Mittag-Leffler functions and generalizations
23.3.4.,,,Other wave functions
23.3.5.,,,Painleve-type functions
23.3.6.,,,Other functions defined by series and integrals
23.3.7.,,,Other functions coming from differential difference and integral equations
23.3.8.,,,Special functions in characteristic p gamma functions
24,Ordinary differential equations,,
25,Partial differential equations,,
25.1.,,Qualitative properties of solutions to partial differential equations,
25.1.1.,,,Stability in context of PDEs
25.1.2.,,,Pattern formations in context of PDEs
25.1.3.,,,Critical points of functionals in context of PDEs energy functionals
25.1.4.,,,Asymptotic behavior of solutions to PDEs
25.1.5.,,,Attractors
25.1.6.,,,Inertial manifolds
25.1.7.,,,Blow-up in context of PDEs
25.1.8.,,,A priori estimates in context of PDEs
25.1.9.,,,Maximum principles in context of PDEs
25.2.,,35Q?,
25.2.1.,,,PDEs in connection with statistics
25.2.2.,,,PDEs in connection with computer science
25.2.3.,,,Fokker-Planck equations
25.2.4.,,,PDEs in connection with geophysics
25.2.5.,,,PDEs in connection with mathematical programming
25.2.6.,,,PDEs in connection with game theory economics social and behavioral sciences
25.2.7.,,,PDEs in connection with biology chemistry and other natural sciences
25.2.8.,,,PDEs in connection with control and optimization
25.2.9.,,,PDEs in connection with information and communication
26,Dynamical systems and ergodic theory,,
26.1.,,Random dynamical systems,
26.1.1.,,,General theory of random and stochastic dynamical systems
26.1.2.,,,Generation random and stochastic difference and differential equations
26.1.3.,,,Random iteration
26.1.4.,,,Random dynamical systems aspects of multiplicative ergodic theory Lyapunov exponents
26.1.5.,,,Bifurcation theory for random and stochastic dynamical systems
26.1.6.,,,Stability theory for random and stochastic dynamical systems
26.2.,,Dynamical aspects of finite-dimensional Hamiltonian and Lagrangian systems,
26.2.1.,,,General theory of finite-dimensional Hamiltonian and Lagrangian systems Hamiltonian and Lagrangian structures symmetries invariants
26.2.2.,,,Symplectic and canonical mappings
26.2.3.,,,Fixed points and periodic points of finite-dimensional Hamiltonian and Lagrangian systems
26.2.4.,,,Bifurcation problems for finite-dimensional Hamiltonian and Lagrangian systems
26.2.5.,,,Stability problems for finite-dimensional Hamiltonian and Lagrangian systems
26.3.,,Approximation methods and numerical treatment of dynamical systems,
26.3.1.,,,Simulation of dynamical systems
26.3.2.,,,Time series analysis of dynamical systems
26.3.3.,,,Discretization methods and integrators symplectic variational geometric for dynamical systems
26.3.4.,,,Computational methods for bifurcation problems in dynamical systems
26.3.5.,,,Computational methods for invariant manifolds of dynamical systems
26.3.6.,,,Computational methods for attractors of dynamical systems
26.3.7.,,,Computational methods for ergodic theory approximation of invariant measures computation of Lyapunov exponents entropy
26.4.,,Applications of dynamical systems,
26.4.1.,,,Dynamical systems in biology
26.4.2.,,,Dynamical systems in numerical analysis
26.4.3.,,,Dynamical systems in control
26.4.4.,,,Dynamical systems in optimization and economics
27,Difference and functional equations,,
27.1.,,Software source code for problems pertaining to difference and functional equations,
27.2.,,Computational methods for problems pertaining to difference and functional equations,
27.3.,,Research data for problems pertaining to difference and functional equations,
27.4.,,Difference equations,
27.4.1.,,,General theory of difference equations
27.4.2.,,,Linear difference equations
27.4.3.,,,Additive difference equations
27.4.4.,,,Discrete version of topics in analysis
27.4.5.,,,Difference equations scaling q-differences
27.4.6.,,,Partial difference equations
27.4.7.,,,Multiplicative and other generalized difference equations of Lyness type
27.4.8.,,,Oscillation theory for difference equations
27.4.9.,,,Growth boundedness comparison of solutions to difference equations
27.4.10.,,,Periodic solutions of difference equations
27.4.11.,,,Almost periodic solutions of difference equations
27.4.12.,,,Fuzzy difference equations
27.4.13.,,,Stochastic difference equations
28,Sequences series summability,,
28.1.,,Software source code for problems pertaining to sequences series summability,
28.2.,,Proceedings conferences collections pertaining to sequences series summability,
28.3.,,Computational methods for problems pertaining to sequences series summability,
28.4.,,Research data for problems pertaining to sequences series summability,
29,Approximations and expansions,,
30,Harmonic analysis on Euclidean spaces,,
31,Abstract harmonic analysis,,
32,Integral transforms operational calculus,,
33,Integral equations,,
34,Functional analysis,,
35,Operator theory,,
35.1.,,47A?,
35.1.1.,,,Linear operator methods in interpolation moment and extension problems
35.1.2.,,,Linear operator approximation theory
35.1.3.,,,Functional calculus for linear operators
35.1.4.,,,Equations involving linear operators with operator unknowns
35.1.5.,,,Linear operator inequalities
35.1.6.,,,Operator means involving linear operators shorted linear operators
35.1.7.,,,Structure theory of linear operators
35.1.8.,,,Quasitriangular and nonquasitriangular quasidiagonal and nonquasidiagonal linear operators
35.1.9.,,,Representation theory of linear operators
35.1.10.,,,Factorization theory including Wiener-Hopf and spectral factorizations of linear operators
35.1.11.,,,Generalized eigenfunction expansions of linear operators rigged Hilbert spaces
35.1.12.,,,Eigenvalue problems for linear operators
35.1.13.,,,Tensor products of linear operators
35.2.,,Special classes of linear operators,
35.2.1.,,,Linear composition operators
35.2.2.,,,Kernel operators
35.2.3.,,,Toeplitz operators Hankel operators Wiener-Hopf operators
35.2.4.,,,Jacobi tridiagonal operators matrices and generalizations
35.2.5.,,,Linear operators on special spaces weighted shifts operators on sequence spaces
35.2.6.,,,Linear operators on function spaces general
35.2.7.,,,Linear difference operators
35.2.8.,,,Spectral operators decomposable operators well-bounded operators
35.2.9.,,,Linear operators on ordered spaces
35.2.10.,,,Positive linear operators and order-bounded operators
35.3.,,Miscellaneous applications of operator theory,
35.3.1.,,,Applications of operator theory in optimization convex analysis mathematical programming economics
35.3.2.,,,Applications of operator theory to differential and integral equations
35.3.3.,,,Applications of operator theory in probability theory and statistics
35.3.4.,,,Applications of operator theory in numerical analysis
36,Calculus of variations and optimal control optimization,,
36.1.,,Numerical methods in optimal control,
36.1.1.,,,Numerical methods based on necessary conditions
36.1.2.,,,Newton-type methods
36.1.3.,,,Numerical methods of relaxation type
36.1.4.,,,Discrete approximations in optimal control
36.1.5.,,,Decomposition methods
36.1.6.,,,Numerical methods involving duality
36.1.7.,,,Numerical methods based on nonlinear programming
36.1.8.,,,PDE constrained optimization numerical aspects
36.2.,,Miscellaneous topics in calculus of variations and optimal control,
36.2.1.,,,Linear optimal control problems
36.2.2.,,,Linear-quadratic optimal control problems
36.2.3.,,,Duality theory optimization
36.2.4.,,,Periodic optimal control problems
36.2.5.,,,Impulsive optimal control problems
36.2.6.,,,Problems with incomplete information optimization
36.2.7.,,,Optimal feedback synthesis
36.2.8.,,,Inverse problems in optimal control
37,Geometry,,
37.1.,,Finite geometry and special incidence structures,
37.1.1.,,,General block designs in finite geometry
37.1.2.,,,Steiner systems in finite geometry
37.1.3.,,,Generalized quadrangles and generalized polygons in finite geometry
37.1.4.,,,Finite partial geometries general nets partial spreads
37.1.5.,,,Finite affine and projective planes geometric aspects
37.1.6.,,,Combinatorial structures in finite projective spaces
37.1.7.,,,Blocking sets ovals k-arcs
37.1.8.,,,Linear codes and caps in Galois spaces
37.1.9.,,,Spreads and packing problems in finite geometry
37.1.10.,,,Buildings and the geometry of diagrams
37.1.11.,,,Other finite nonlinear geometries
37.1.12.,,,Other finite linear geometries
37.1.13.,,,Other finite incidence structures geometric aspects
38,Convex and discrete geometry,,
38.1.,,Discrete geometry,
38.1.1.,,,Lattices and convex bodies in 2 dimensions aspects of discrete geometry
38.1.2.,,,Lattices and convex bodies in n dimensions aspects of discrete geometry
38.1.3.,,,Erdos problems and related topics of discrete geometry
38.1.4.,,,Packing and covering in 2 dimensions aspects of discrete geometry
38.1.5.,,,Packing and covering in n dimensions aspects of discrete geometry
38.1.6.,,,Tilings in 2 dimensions aspects of discrete geometry
38.1.7.,,,Tilings in n dimensions aspects of discrete geometry
38.1.8.,,,Quasicrystals and aperiodic tilings in discrete geometry
38.1.9.,,,Rigidity and flexibility of structures aspects of discrete geometry
38.1.10.,,,Circle packings and discrete conformal geometry
38.1.11.,,,Planar arrangements of lines and pseudolines aspects of discrete geometry
38.1.12.,,,Arrangements of points flats hyperplanes aspects of discrete geometry
38.1.13.,,,Oriented matroids in discrete geometry
38.1.14.,,,Combinatorial complexity of geometric structures
39,Differential geometry,,
39.1.,,53B?,
39.1.1.,,,Local differential geometry of Finsler spaces and generalizations areal metrics
39.1.2.,,,Applications of local differential geometry to the sciences
40,General topology,,
41,Algebraic topology,,
42,Manifolds and cell complexes,,
42.1.,,Software source code for problems pertaining to manifolds and cell complexes,
42.2.,,Computational methods for problems pertaining to manifolds and cell complexes,
42.3.,,Research data for problems pertaining to manifolds and cell complexes,
43,Global analysis analysis on manifolds,,
44,Probability theory and stochastic processes,,
44.1.,,General reference works handbooks dictionaries bibliographies pertaining to probability theory,
44.2.,,Introductory exposition textbooks tutorial papers pertaining to probability theory,
44.3.,,Research exposition monographs survey articles pertaining to probability theory,
44.4.,,History of probability theory,
44.5.,,Software source code for problems pertaining to probability theory,
44.6.,,Proceedings conferences collections pertaining to probability theory,
44.7.,,Computational methods for problems pertaining to probability theory,
44.8.,,Research data for problems pertaining to probability theory,
44.9.,,Foundations of probability theory,
44.9.1.,,,Axioms other general questions in probability
44.9.2.,,,Probabilistic measure theory
44.9.3.,,,Fuzzy probability
44.10.,,Probability theory on algebraic and topological structures,
44.10.1.,,,Probability measures on topological spaces
44.10.2.,,,Convergence of probability measures
44.10.3.,,,Probability theory on linear topological spaces
44.10.4.,,,Limit theorems for vector-valued random variables infinite-dimensional case
44.10.5.,,,Probability measures on groups or semigroups Fourier transforms factorization
44.10.6.,,,Random matrices probabilistic aspects
44.11.,,Combinatorial probability,
44.11.1.,,,Combinatorial probability
44.12.,,Geometric probability and stochastic geometry,
44.12.1.,,,Geometric probability and stochastic geometry
44.13.,,Distribution theory,
44.13.1.,,,Probability distributions general theory
44.13.2.,,,Infinitely divisible distributions stable distributions
44.13.3.,,,Characteristic functions other transforms
44.13.4.,,,Inequalities stochastic orderings
44.14.,,Limit theorems in probability theory,
44.14.1.,,,Central limit and other weak theorems
44.14.2.,,,Large deviations
44.14.3.,,,Strong limit theorems
44.14.4.,,,Functional limit theorems invariance principles
44.14.5.,,,Zero-one laws
44.14.6.,,,Lp-limit theorems
44.15.,,Stochastic processes,
44.15.1.,,,Foundations of stochastic processes
44.15.2.,,,General theory of stochastic processes
44.15.3.,,,Exchangeability for stochastic processes
44.15.4.,,,Stationary stochastic processes
44.15.5.,,,General second-order stochastic processes
44.15.6.,,,Gaussian processes
44.15.7.,,,Sample path properties
44.15.8.,,,Self-similar stochastic processes
44.15.9.,,,Generalized stochastic processes
44.15.10.,,,Fractional processes including fractional Brownian motion
44.15.11.,,,Prediction theory aspects of stochastic processes
44.15.12.,,,Continuity and singularity of induced measures
44.15.13.,,,Signal detection and filtering aspects of stochastic processes
44.15.14.,,,Stopping times optimal stopping problems gambling theory
44.15.15.,,,Martingales with discrete parameter
44.15.16.,,,Martingales with continuous parameter
44.15.17.,,,Martingales and classical analysis
44.15.18.,,,Generalizations of martingales
44.15.19.,,,Sums of independent random variables random walks
44.15.20.,,,Processes with independent increments Levy processes
44.15.21.,,,Stable stochastic processes
44.15.22.,,,Feller processes
44.15.23.,,,Point processes Poisson Cox Hawkes processes
44.15.24.,,,Random measures
44.15.25.,,,Random fields
44.15.26.,,,Nonlinear processes G-Brownian motion G-Levy processes
44.15.27.,,,Extreme value theory extremal stochastic processes
44.16.,,Markov processes,
44.16.1.,,,Discrete-time Markov processes on general state spaces
44.16.2.,,,Markov chains discrete-time Markov processes on discrete state spaces
44.16.3.,,,Applications of Markov chains and discrete-time Markov processes on general state spaces social mobility learning theory industrial processes
44.16.4.,,,Computational methods in Markov chains
44.16.5.,,,Continuous-time Markov processes on general state spaces
44.16.6.,,,Continuous-time Markov processes on discrete state spaces
44.16.7.,,,Applications of continuous-time Markov processes on discrete state spaces
44.16.8.,,,Transition functions generators and resolvents
44.16.9.,,,Right processes
44.16.10.,,,Probabilistic potential theory
44.16.11.,,,Dirichlet form methods in Markov processes
44.16.12.,,,Boundary theory for Markov processes
44.16.13.,,,Local time and additive functionals
44.16.14.,,,Multiplicative functionals and Markov processes
44.16.15.,,,Diffusion processes
44.16.16.,,,Brownian motion
44.16.17.,,,Stochastic Schramm-Loewner evolution SLE
44.16.18.,,,Superprocesses
44.16.19.,,,Applications of Brownian motions and diffusion theory population genetics absorption problems
44.16.20.,,,Jump processes on discrete state spaces
44.16.21.,,,Jump processes on general state spaces
44.16.22.,,,Branching processes Galton-Watson birth-and-death
44.16.23.,,,Applications of branching processes
44.16.24.,,,Coalescent processes
44.16.25.,,,Applications of coalescent processes
44.17.,,Special processes,
44.17.1.,,,Renewal theory
44.17.2.,,,Applications of renewal theory reliability demand theory
44.17.3.,,,Markov renewal processes semi-Markov processes
44.17.4.,,,Applications of Markov renewal processes reliability queueing networks
44.17.5.,,,Queueing theory aspects of probability theory
44.17.6.,,,Applications of queueing theory congestion allocation storage traffic
44.17.7.,,,Interacting random processes statistical mechanics type models percolation theory
44.17.8.,,,Processes in random environments
44.17.9.,,,Other physical applications of random processes
44.17.10.,,,Anomalous diffusion models subdiffusion superdiffusion continuous-time random walks
44.18.,,Rough analysis,
44.18.1.,,,Signatures and data streams
44.18.2.,,,Rough paths
44.18.3.,,,Regularity structures
44.18.4.,,,Paracontrolled distributions and alternative approaches
44.18.5.,,,Rough partial differential equations
44.18.6.,,,Algebraic structures and computation
44.18.7.,,,Applications of rough analysis
45,Statistics,,
45.1.,,General reference works handbooks dictionaries bibliographies pertaining to statistics,
45.2.,,Introductory exposition textbooks tutorial papers pertaining to statistics,
45.3.,,Research exposition monographs survey articles pertaining to statistics,
45.4.,,History of statistics,
45.5.,,Software source code for problems pertaining to statistics,
45.6.,,Proceedings conferences collections pertaining to statistics,
45.7.,,Computational methods for problems pertaining to statistics,
45.8.,,Research data for problems pertaining to statistics,
45.9.,,Foundational topics in statistics,
45.9.1.,,,Foundations and philosophical topics in statistics
45.9.2.,,,Graphical methods
45.9.3.,,,Fuzzy analysis in statistics
45.10.,,Sufficiency and information,
45.10.1.,,,Sufficient statistics and fields
45.10.2.,,,Statistical aspects of information-theoretic topics
45.10.3.,,,Information geometry statistical aspects
45.10.4.,,,Theory of statistical experiments
45.10.5.,,,Statistical aspects of fuzziness sufficiency and information
45.11.,,Statistical decision theory,
45.11.1.,,,General considerations in statistical decision theory
45.11.2.,,,Complete class results in statistical decision theory
45.11.3.,,,Bayesian problems characterization of Bayes procedures
45.11.4.,,,Empirical decision procedures empirical Bayes procedures
45.11.5.,,,Admissibility in statistical decision theory
45.11.6.,,,Minimax procedures in statistical decision theory
45.11.7.,,,Compound decision problems in statistical decision theory
45.11.8.,,,Statistical decision theory and fuzziness
45.12.,,Statistical sampling theory and related topics,
45.12.1.,,,Sampling theory sample surveys
45.12.2.,,,Missing data
45.12.3.,,,Causal inference from observational studies
45.13.,,Statistical distribution theory,
45.13.1.,,,Characterization and structure theory of statistical distributions
45.13.2.,,,Exact distribution theory in statistics
45.13.3.,,,Approximations to statistical distributions nonasymptotic
45.13.4.,,,Asymptotic distribution theory in statistics
45.13.5.,,,Fuzziness in connection with statistical distributions
45.14.,,Parametric inference,
45.14.1.,,,Parametric hypothesis testing
45.14.2.,,,Asymptotic properties of parametric tests
45.14.3.,,,Statistical ranking and selection procedures
45.14.4.,,,Point estimation
45.14.5.,,,Asymptotic properties of parametric estimators
45.14.6.,,,Bayesian inference
45.14.7.,,,Parametric tolerance and confidence regions
45.14.8.,,,Parametric inference under constraints
45.14.9.,,,Robustness and adaptive procedures parametric inference
45.14.10.,,,Bootstrap jackknife and other resampling methods
45.14.11.,,,Parametric inference and fuzziness
45.15.,,Nonparametric inference,
45.15.1.,,,Nonparametric estimation
45.15.2.,,,Density estimation
45.15.3.,,,Nonparametric regression and quantile regression
45.15.4.,,,Nonparametric statistical resampling methods
45.15.5.,,,Nonparametric hypothesis testing
45.15.6.,,,Nonparametric tolerance and confidence regions
45.15.7.,,,Asymptotic properties of nonparametric inference
45.15.8.,,,Order statistics empirical distribution functions
45.15.9.,,,Statistics of extreme values tail inference
45.15.10.,,,Nonparametric robustness
45.15.11.,,,Nonparametric inference and fuzziness
45.16.,,Multivariate analysis,
45.16.1.,,,Characterization and structure theory for multivariate probability distributions copulas
45.16.2.,,,Multivariate distribution of statistics
45.16.3.,,,Directional data spatial statistics
45.16.4.,,,Estimation in multivariate analysis
